Дата;День;Время;Тип;Дисциплина;Адрес;Аудитория (или URL);Преподаватель;Кафедра
17.10.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
16.11.2026;ПН;08:30 - 10:00;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
16.11.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
16.11.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
16.11.2026;ПН;15:10 - 16:40;П;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
17.11.2026;ВТ;08:30 - 10:00;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
17.11.2026;ВТ;10:10 - 11:40;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
17.11.2026;ВТ;13:30 - 15:00;Л;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
17.11.2026;ВТ;15:10 - 16:40;П;История русского языка;Советский, 8;702;Мельникова Наталия Георгиевна;-
18.11.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
18.11.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
18.11.2026;СР;13:30 - 15:00;П;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
18.11.2026;СР;15:10 - 16:40;П;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;802;Воробьева Татьяна Алексеевна;-
18.11.2026;СР;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;802;Соловьева Светлана Александровна;-
19.11.2026;ЧТ;08:30 - 10:00;П;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
19.11.2026;ЧТ;10:10 - 11:40;П;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
19.11.2026;ЧТ;11:50 - 13:20;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
19.11.2026;ЧТ;13:30 - 15:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Дивеева Алина Альбертовна;-
20.11.2026;ПТ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
20.11.2026;ПТ;11:50 - 13:20;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
20.11.2026;ПТ;13:30 - 15:00;П;Без срока давности;Советский, 8;713;Копылов Федор Вячеславович;-
20.11.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
21.11.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
21.11.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
21.11.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
23.11.2026;ПН;08:30 - 10:00;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
23.11.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
23.11.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
23.11.2026;ПН;15:10 - 16:40;П;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
24.11.2026;ВТ;08:30 - 10:00;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
24.11.2026;ВТ;10:10 - 11:40;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
24.11.2026;ВТ;13:30 - 15:00;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
24.11.2026;ВТ;15:10 - 16:40;П;История русского языка;Советский, 8;702;Мельникова Наталия Георгиевна;-
25.11.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
25.11.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
25.11.2026;СР;13:30 - 15:00;П;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
25.11.2026;СР;15:10 - 16:40;П;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;802;Воробьева Татьяна Алексеевна;-
25.11.2026;СР;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;802;Соловьева Светлана Александровна;-
26.11.2026;ЧТ;08:30 - 10:00;П;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
26.11.2026;ЧТ;10:10 - 11:40;П;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
26.11.2026;ЧТ;11:50 - 13:20;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
26.11.2026;ЧТ;13:30 - 15:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Дивеева Алина Альбертовна;-
27.11.2026;ПТ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
27.11.2026;ПТ;11:50 - 13:20;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
27.11.2026;ПТ;13:30 - 15:00;П;Без срока давности;Советский, 8;713;Копылов Федор Вячеславович;-
27.11.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
28.11.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
28.11.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
28.11.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
30.11.2026;ПН;08:30 - 10:00;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
30.11.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
30.11.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
30.11.2026;ПН;15:10 - 16:40;П;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
01.12.2026;ВТ;08:30 - 10:00;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
01.12.2026;ВТ;10:10 - 11:40;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
01.12.2026;ВТ;13:30 - 15:00;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
01.12.2026;ВТ;15:10 - 16:40;П;История русского языка;Советский, 8;702;Мельникова Наталия Георгиевна;-
02.12.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
02.12.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
02.12.2026;СР;13:30 - 15:00;П;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
02.12.2026;СР;15:10 - 16:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
02.12.2026;СР;18:00 - 19:30;ЛБ;Спецкурсы и курсовое проектирование по русскому языку;Онлайн;-;Воробьева Татьяна Алексеевна;-
02.12.2026;СР;19:40 - 21:10;ЛБ;Спецкурсы и курсовое проектирование по русскому языку;Онлайн;-;Воробьева Татьяна Алексеевна;-
03.12.2026;ЧТ;08:30 - 10:00;П;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
03.12.2026;ЧТ;10:10 - 11:40;П;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
03.12.2026;ЧТ;11:50 - 13:20;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
03.12.2026;ЧТ;13:30 - 15:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Дивеева Алина Альбертовна;-
04.12.2026;ПТ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
04.12.2026;ПТ;11:50 - 13:20;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
04.12.2026;ПТ;13:30 - 15:00;П;Без срока давности;Советский, 8;713;Копылов Федор Вячеславович;-
04.12.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
05.12.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
05.12.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
05.12.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
07.12.2026;ПН;08:30 - 10:00;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
07.12.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
07.12.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
07.12.2026;ПН;15:10 - 16:40;П;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
08.12.2026;ВТ;08:30 - 10:00;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
08.12.2026;ВТ;10:10 - 11:40;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
08.12.2026;ВТ;13:30 - 15:00;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
08.12.2026;ВТ;15:10 - 16:40;П;История русского языка;Советский, 8;702;Мельникова Наталия Георгиевна;-
09.12.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
09.12.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
09.12.2026;СР;13:30 - 15:00;П;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
09.12.2026;СР;15:10 - 16:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
09.12.2026;СР;18:00 - 19:30;ЛБ;Спецкурсы и курсовое проектирование по русскому языку;Онлайн;-;Воробьева Татьяна Алексеевна;-
09.12.2026;СР;19:40 - 21:10;ЛБ;Спецкурсы и курсовое проектирование по русскому языку;Онлайн;-;Воробьева Татьяна Алексеевна;-
10.12.2026;ЧТ;08:30 - 10:00;З;Иностранный язык в профессиональной сфере (нем);Советский, 8;627;Торохова Галина Захаровна;-
10.12.2026;ЧТ;10:10 - 11:40;П;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
10.12.2026;ЧТ;11:50 - 13:20;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
10.12.2026;ЧТ;13:30 - 15:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Дивеева Алина Альбертовна;-
11.12.2026;ПТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
11.12.2026;ПТ;13:30 - 15:00;П;Без срока давности;Советский, 8;713;Копылов Федор Вячеславович;-
11.12.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
12.12.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
12.12.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
12.12.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
14.12.2026;ПН;08:30 - 10:00;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
14.12.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
14.12.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
14.12.2026;ПН;15:10 - 16:40;П;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
15.12.2026;ВТ;08:30 - 10:00;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
15.12.2026;ВТ;10:10 - 11:40;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
15.12.2026;ВТ;13:30 - 15:00;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
15.12.2026;ВТ;15:10 - 16:40;П;История русского языка;Советский, 8;702;Мельникова Наталия Георгиевна;-
16.12.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
16.12.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
16.12.2026;СР;13:30 - 15:00;П;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
16.12.2026;СР;15:10 - 16:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
16.12.2026;СР;18:00 - 19:30;ЛБ;Спецкурсы и курсовое проектирование по русскому языку;Онлайн;-;Воробьева Татьяна Алексеевна;-
17.12.2026;ЧТ;10:10 - 11:40;З;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
17.12.2026;ЧТ;11:50 - 13:20;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
17.12.2026;ЧТ;13:30 - 15:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Дивеева Алина Альбертовна;-
18.12.2026;ПТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
18.12.2026;ПТ;13:30 - 15:00;З;Без срока давности;Советский, 8;713;Копылов Федор Вячеславович;-
18.12.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
19.12.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
19.12.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
19.12.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
21.12.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
21.12.2026;ПН;15:10 - 16:40;П;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
22.12.2026;ВТ;08:30 - 10:00;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
22.12.2026;ВТ;10:10 - 11:40;П;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
22.12.2026;ВТ;13:30 - 15:00;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
22.12.2026;ВТ;15:10 - 16:40;З;История русского языка;Советский, 8;702;Мельникова Наталия Георгиевна;-
23.12.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
23.12.2026;СР;13:30 - 15:00;П;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
23.12.2026;СР;15:10 - 16:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
23.12.2026;СР;15:10 - 16:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
24.12.2026;ЧТ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;802;Дивеева Алина Альбертовна;-
24.12.2026;ЧТ;11:50 - 13:20;З;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
25.12.2026;ПТ;11:50 - 13:20;З;Деловые коммуникации на русском языке;Советский, 8;802;Неклюдова Евгения Александровна;-
25.12.2026;ПТ;13:30 - 15:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
25.12.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
26.12.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
26.12.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
26.12.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
28.12.2026;ПН;13:30 - 15:00;П;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
28.12.2026;ПН;15:10 - 16:40;З;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;802;Воробьева Татьяна Алексеевна;-
29.12.2026;ВТ;13:30 - 15:00;З;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
30.12.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
30.12.2026;СР;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
30.12.2026;СР;13:30 - 15:00;З;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
30.12.2026;СР;15:10 - 16:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
